period,reported_district,data_type,age_group,total
2018-02-01,Nsama,Confirmed,Over 5,378
2018-02-01,Nsama,Confirmed,Under 5,34
2018-02-01,Senga,Clinical,Under 5,4
2018-02-01,Senga,Clinical,Over 5,7
2018-02-01,Senga,Confirmed,Under 5,1033
2018-02-01,Senga,Confirmed,Over 5,2128
2018-02-01,Senga,Confirmed,Under 5,285
2018-03-01,Chilubi,Clinical,Under 5,124
2018-03-01,Chilubi,Clinical,Over 5,270
2018-03-01,Chilubi,Clinical,Under 5,76
2018-03-01,Chilubi,Confirmed,Under 5,820
2018-03-01,Chilubi,Confirmed,Over 5,1148
2018-03-01,Chilubi,Confirmed,Under 5,279
2018-03-01,Kaputa,Clinical,Under 5,1
2018-03-01,Kaputa,Clinical,Over 5,9
2018-03-01,Kaputa,Confirmed,Under 5,276
2018-03-01,Kaputa,Confirmed,Over 5,1224
2018-03-01,Kaputa,Confirmed,Under 5,121
2018-03-01,Kasama,Clinical,Under 5,80
2018-03-01,Kasama,Clinical,Over 5,151
2018-03-01,Kasama,Clinical,Under 5,12
2018-03-01,Kasama,Confirmed,Under 5,3436
2018-03-01,Kasama,Confirmed,Over 5,8912
2018-03-01,Kasama,Confirmed,Under 5,913
2018-03-01,Lunte,Clinical,Over 5,4
2018-03-01,Lunte,Confirmed,Under 5,305
2018-03-01,Lunte,Confirmed,Over 5,912
2018-03-01,Lunte,Confirmed,Under 5,61
2018-03-01,Lupososhi,Clinical,Over 5,10
2018-03-01,Lupososhi,Confirmed,Under 5,338
2018-03-01,Lupososhi,Confirmed,Over 5,656
2018-03-01,Lupososhi,Confirmed,Under 5,74
2018-03-01,Luwingu,Clinical,Under 5,3
2018-03-01,Luwingu,Clinical,Over 5,5
2018-03-01,Luwingu,Clinical,Under 5,2
2018-03-01,Luwingu,Confirmed,Under 5,916
2018-03-01,Luwingu,Confirmed,Over 5,1972
2018-03-01,Luwingu,Confirmed,Under 5,235
2018-03-01,Mbala,Clinical,Under 5,27
2018-03-01,Mbala,Clinical,Over 5,124
2018-03-01,Mbala,Clinical,Under 5,5
2018-03-01,Mbala,Confirmed,Under 5,961
2018-03-01,Mbala,Confirmed,Over 5,3080
2018-03-01,Mbala,Confirmed,Under 5,175
2018-03-01,Mporokoso,Confirmed,Under 5,236
2018-03-01,Mporokoso,Confirmed,Over 5,910
2018-03-01,Mporokoso,Confirmed,Under 5,60
2018-03-01,Mpulungu,Clinical,Under 5,7
2018-03-01,Mpulungu,Clinical,Over 5,10
2018-03-01,Mpulungu,Clinical,Under 5,1
2018-03-01,Mpulungu,Confirmed,Under 5,537
2018-03-01,Mpulungu,Confirmed,Over 5,1305
2018-03-01,Mpulungu,Confirmed,Under 5,136
2018-03-01,Mungwi,Clinical,Under 5,74
2018-03-01,Mungwi,Clinical,Over 5,182
2018-03-01,Mungwi,Clinical,Under 5,13
2018-03-01,Mungwi,Confirmed,Under 5,1917
2018-03-01,Mungwi,Confirmed,Over 5,4959
2018-03-01,Mungwi,Confirmed,Under 5,398
2018-03-01,Nsama,Clinical,Under 5,1
2018-03-01,Nsama,Clinical,Over 5,5
2018-03-01,Nsama,Confirmed,Under 5,108
2018-03-01,Nsama,Confirmed,Over 5,288
2018-03-01,Nsama,Confirmed,Under 5,19
2018-03-01,Senga,Confirmed,Under 5,1194
2018-03-01,Senga,Confirmed,Over 5,3034
2018-03-01,Senga,Confirmed,Under 5,300
2018-04-01,Chilubi,Clinical,Under 5,158
2018-04-01,Chilubi,Clinical,Over 5,204
2018-04-01,Chilubi,Clinical,Under 5,90
2018-04-01,Chilubi,Confirmed,Under 5,1443
2018-04-01,Chilubi,Confirmed,Over 5,1574
2018-04-01,Chilubi,Confirmed,Under 5,413
2018-04-01,Kaputa,Clinical,Under 5,2
2018-04-01,Kaputa,Confirmed,Under 5,382
2018-04-01,Kaputa,Confirmed,Over 5,1081
2018-04-01,Kaputa,Confirmed,Under 5,98
2018-04-01,Kasama,Clinical,Under 5,2
2018-04-01,Kasama,Clinical,Over 5,22
2018-04-01,Kasama,Confirmed,Under 5,3678
2018-04-01,Kasama,Confirmed,Over 5,7584
2018-04-01,Kasama,Confirmed,Under 5,830
2018-04-01,Lunte,Confirmed,Under 5,356
2018-04-01,Lunte,Confirmed,Over 5,1098
2018-04-01,Lunte,Confirmed,Under 5,82
2018-04-01,Lupososhi,Confirmed,Under 5,531
2018-04-01,Lupososhi,Confirmed,Over 5,927
2018-04-01,Lupososhi,Confirmed,Under 5,145
2018-04-01,Luwingu,Clinical,Under 5,4
2018-04-01,Luwingu,Clinical,Over 5,35
2018-04-01,Luwingu,Clinical,Under 5,1
2018-04-01,Luwingu,Confirmed,Under 5,864
2018-04-01,Luwingu,Confirmed,Over 5,1882
2018-04-01,Luwingu,Confirmed,Under 5,205
2018-04-01,Mbala,Clinical,Under 5,115
2018-04-01,Mbala,Clinical,Over 5,396
2018-04-01,Mbala,Clinical,Under 5,30
2018-04-01,Mbala,Confirmed,Under 5,655
2018-04-01,Mbala,Confirmed,Over 5,1673
2018-04-01,Mbala,Confirmed,Under 5,96
2018-04-01,Mporokoso,Confirmed,Under 5,166
2018-04-01,Mporokoso,Confirmed,Over 5,609
2018-04-01,Mporokoso,Confirmed,Under 5,67
2018-04-01,Mpulungu,Clinical,Over 5,8
2018-04-01,Mpulungu,Confirmed,Under 5,550
2018-04-01,Mpulungu,Confirmed,Over 5,1370
2018-04-01,Mpulungu,Confirmed,Under 5,183
2018-04-01,Mungwi,Clinical,Under 5,54
2018-04-01,Mungwi,Clinical,Over 5,226
2018-04-01,Mungwi,Clinical,Under 5,13
2018-04-01,Mungwi,Confirmed,Under 5,1819
2018-04-01,Mungwi,Confirmed,Over 5,4947
2018-04-01,Mungwi,Confirmed,Under 5,470
2018-04-01,Nsama,Confirmed,Under 5,187
2018-04-01,Nsama,Confirmed,Over 5,395
2018-04-01,Nsama,Confirmed,Under 5,42
2018-04-01,Senga,Confirmed,Under 5,1049
2018-04-01,Senga,Confirmed,Over 5,2930
2018-04-01,Senga,Confirmed,Under 5,344
2018-05-01,Chilubi,Clinical,Under 5,65
2018-05-01,Chilubi,Clinical,Over 5,339
2018-05-01,Chilubi,Clinical,Under 5,59
2018-05-01,Chilubi,Confirmed,Under 5,1616
2018-05-01,Chilubi,Confirmed,Over 5,1741
2018-05-01,Chilubi,Confirmed,Under 5,566
2018-05-01,Kaputa,Clinical,Under 5,1
2018-05-01,Kaputa,Confirmed,Under 5,735
2018-05-01,Kaputa,Confirmed,Over 5,1988
2018-05-01,Kaputa,Confirmed,Under 5,197
2018-05-01,Kasama,Clinical,Under 5,26
2018-05-01,Kasama,Clinical,Over 5,116
2018-05-01,Kasama,Clinical,Under 5,5
2018-05-01,Kasama,Confirmed,Under 5,3132
2018-05-01,Kasama,Confirmed,Over 5,9035
2018-05-01,Kasama,Confirmed,Under 5,627
2018-05-01,Lunte,Clinical,Under 5,5
2018-05-01,Lunte,Clinical,Over 5,10
2018-05-01,Lunte,Clinical,Under 5,9
2018-05-01,Lunte,Confirmed,Under 5,737
2018-05-01,Lunte,Confirmed,Over 5,2102
2018-05-01,Lunte,Confirmed,Under 5,232
2018-05-01,Lupososhi,Confirmed,Under 5,643
2018-05-01,Lupososhi,Confirmed,Over 5,1161
2018-05-01,Lupososhi,Confirmed,Under 5,145
2018-05-01,Luwingu,Clinical,Under 5,11
2018-05-01,Luwingu,Clinical,Over 5,46
2018-05-01,Luwingu,Confirmed,Under 5,963
2018-05-01,Luwingu,Confirmed,Over 5,2100
2018-05-01,Luwingu,Confirmed,Under 5,212
2018-05-01,Mbala,Clinical,Under 5,9
2018-05-01,Mbala,Clinical,Over 5,26
2018-05-01,Mbala,Confirmed,Under 5,1048
2018-05-01,Mbala,Confirmed,Over 5,4919
2018-05-01,Mbala,Confirmed,Under 5,256
2018-05-01,Mporokoso,Confirmed,Under 5,230
2018-05-01,Mporokoso,Confirmed,Over 5,871
2018-05-01,Mporokoso,Confirmed,Under 5,67
2018-05-01,Mpulungu,Clinical,Over 5,1
2018-05-01,Mpulungu,Confirmed,Under 5,603
2018-05-01,Mpulungu,Confirmed,Over 5,1412
2018-05-01,Mpulungu,Confirmed,Under 5,166
2018-05-01,Mungwi,Clinical,Under 5,57
2018-05-01,Mungwi,Clinical,Over 5,251
2018-05-01,Mungwi,Clinical,Under 5,16
2018-05-01,Mungwi,Confirmed,Under 5,2367
2018-05-01,Mungwi,Confirmed,Over 5,6424
2018-05-01,Mungwi,Confirmed,Under 5,511
2018-05-01,Nsama,Clinical,Under 5,1
2018-05-01,Nsama,Clinical,Over 5,1
2018-05-01,Nsama,Confirmed,Under 5,361
2018-05-01,Nsama,Confirmed,Over 5,672
2018-05-01,Nsama,Confirmed,Under 5,83
2018-05-01,Senga,Clinical,Under 5,1
2018-05-01,Senga,Clinical,Over 5,2
2018-05-01,Senga,Confirmed,Under 5,1212
2018-05-01,Senga,Confirmed,Over 5,3609
2018-05-01,Senga,Confirmed,Under 5,418
2018-06-01,Chilubi,Clinical,Under 5,13
2018-06-01,Chilubi,Clinical,Over 5,18
2018-06-01,Chilubi,Clinical,Under 5,1
2018-06-01,Chilubi,Confirmed,Under 5,1605
2018-06-01,Chilubi,Confirmed,Over 5,2531
2018-06-01,Chilubi,Confirmed,Under 5,588
2018-06-01,Kaputa,Clinical,Over 5,11
2018-06-01,Kaputa,Confirmed,Under 5,945
2018-06-01,Kaputa,Confirmed,Over 5,2050
2018-06-01,Kaputa,Confirmed,Under 5,220
2018-06-01,Kasama,Clinical,Under 5,49
2018-06-01,Kasama,Clinical,Over 5,99
2018-06-01,Kasama,Clinical,Under 5,4
2018-06-01,Kasama,Confirmed,Under 5,2241
2018-06-01,Kasama,Confirmed,Over 5,5848
2018-06-01,Kasama,Confirmed,Under 5,629
2018-06-01,Lunte,Clinical,Under 5,2
2018-06-01,Lunte,Clinical,Over 5,28
2018-06-01,Lunte,Clinical,Under 5,1
2018-06-01,Lunte,Confirmed,Under 5,451
2018-06-01,Lunte,Confirmed,Over 5,1685
2018-06-01,Lunte,Confirmed,Under 5,66
2018-06-01,Lupososhi,Clinical,Over 5,6
2018-06-01,Lupososhi,Confirmed,Under 5,550
2018-06-01,Lupososhi,Confirmed,Over 5,963
2018-06-01,Lupososhi,Confirmed,Under 5,156
2018-06-01,Luwingu,Clinical,Over 5,2
2018-06-01,Luwingu,Confirmed,Under 5,1141
2018-06-01,Luwingu,Confirmed,Over 5,2890
2018-06-01,Luwingu,Confirmed,Under 5,251
2018-06-01,Mbala,Clinical,Under 5,1
2018-06-01,Mbala,Confirmed,Under 5,861
2018-06-01,Mbala,Confirmed,Over 5,2478
2018-06-01,Mbala,Confirmed,Under 5,180
2018-06-01,Mporokoso,Confirmed,Under 5,157
2018-06-01,Mporokoso,Confirmed,Over 5,691
2018-06-01,Mporokoso,Confirmed,Under 5,26
2018-06-01,Mpulungu,Confirmed,Under 5,458
2018-06-01,Mpulungu,Confirmed,Over 5,1049
2018-06-01,Mpulungu,Confirmed,Under 5,84
2018-06-01,Mungwi,Clinical,Under 5,26
2018-06-01,Mungwi,Clinical,Over 5,112
2018-06-01,Mungwi,Clinical,Under 5,13
2018-06-01,Mungwi,Confirmed,Under 5,1825
2018-06-01,Mungwi,Confirmed,Over 5,5617
2018-06-01,Mungwi,Confirmed,Under 5,367
2018-06-01,Nsama,Clinical,Under 5,1
2018-06-01,Nsama,Clinical,Over 5,1
2018-06-01,Nsama,Confirmed,Under 5,344
2018-06-01,Nsama,Confirmed,Over 5,719
2018-06-01,Nsama,Confirmed,Under 5,120
2018-06-01,Senga,Confirmed,Under 5,1326
2018-06-01,Senga,Confirmed,Over 5,3550
2018-06-01,Senga,Confirmed,Under 5,315
2018-07-01,Chilubi,Clinical,Under 5,17
2018-07-01,Chilubi,Clinical,Over 5,73
2018-07-01,Chilubi,Clinical,Under 5,24
2018-07-01,Chilubi,Confirmed,Under 5,1074
2018-07-01,Chilubi,Confirmed,Over 5,1698
2018-07-01,Chilubi,Confirmed,Under 5,412
2018-07-01,Kaputa,Confirmed,Under 5,1067
2018-07-01,Kaputa,Confirmed,Over 5,2495
2018-07-01,Kaputa,Confirmed,Under 5,264
2018-07-01,Kasama,Clinical,Under 5,28
2018-07-01,Kasama,Clinical,Over 5,57
2018-07-01,Kasama,Clinical,Under 5,15
2018-07-01,Kasama,Confirmed,Under 5,1178
2018-07-01,Kasama,Confirmed,Over 5,3277
2018-07-01,Kasama,Confirmed,Under 5,361
2018-07-01,Lunte,Confirmed,Under 5,321
2018-07-01,Lunte,Confirmed,Over 5,767
2018-07-01,Lunte,Confirmed,Under 5,30
2018-07-01,Lupososhi,Confirmed,Under 5,342
2018-07-01,Lupososhi,Confirmed,Over 5,525
2018-07-01,Lupososhi,Confirmed,Under 5,90
2018-07-01,Luwingu,Clinical,Under 5,1
2018-07-01,Luwingu,Clinical,Over 5,11
2018-07-01,Luwingu,Confirmed,Under 5,573
2018-07-01,Luwingu,Confirmed,Over 5,1274
2018-07-01,Luwingu,Confirmed,Under 5,143
2018-07-01,Mbala,Clinical,Under 5,1
2018-07-01,Mbala,Confirmed,Under 5,525
2018-07-01,Mbala,Confirmed,Over 5,1297
2018-07-01,Mbala,Confirmed,Under 5,120
2018-07-01,Mporokoso,Confirmed,Under 5,223
2018-07-01,Mporokoso,Confirmed,Over 5,756
2018-07-01,Mporokoso,Confirmed,Under 5,90
2018-07-01,Mpulungu,Confirmed,Under 5,404
2018-07-01,Mpulungu,Confirmed,Over 5,931
2018-07-01,Mpulungu,Confirmed,Under 5,126
2018-07-01,Mungwi,Clinical,Under 5,39
2018-07-01,Mungwi,Clinical,Over 5,116
2018-07-01,Mungwi,Clinical,Under 5,11
2018-07-01,Mungwi,Confirmed,Under 5,1289
2018-07-01,Mungwi,Confirmed,Over 5,2749
2018-07-01,Mungwi,Confirmed,Under 5,218
2018-07-01,Nsama,Clinical,Over 5,2
2018-07-01,Nsama,Confirmed,Under 5,532
2018-07-01,Nsama,Confirmed,Over 5,1243
2018-07-01,Nsama,Confirmed,Under 5,107
2018-07-01,Senga,Confirmed,Under 5,876
2018-07-01,Senga,Confirmed,Over 5,1902
2018-07-01,Senga,Confirmed,Under 5,265
2018-08-01,Chilubi,Clinical,Under 5,45
2018-08-01,Chilubi,Clinical,Over 5,64
2018-08-01,Chilubi,Clinical,Under 5,19
2018-08-01,Chilubi,Confirmed,Under 5,1123
2018-08-01,Chilubi,Confirmed,Over 5,1243
2018-08-01,Chilubi,Confirmed,Under 5,352
2018-08-01,Kaputa,Confirmed,Under 5,882
2018-08-01,Kaputa,Confirmed,Over 5,1954
2018-08-01,Kaputa,Confirmed,Under 5,232
2018-08-01,Kasama,Clinical,Under 5,36
2018-08-01,Kasama,Clinical,Over 5,49
2018-08-01,Kasama,Clinical,Under 5,11
2018-08-01,Kasama,Confirmed,Under 5,1271
2018-08-01,Kasama,Confirmed,Over 5,2503
2018-08-01,Kasama,Confirmed,Under 5,262
2018-08-01,Lunte,Clinical,Under 5,5
2018-08-01,Lunte,Clinical,Over 5,36
2018-08-01,Lunte,Clinical,Under 5,2
2018-08-01,Lunte,Confirmed,Under 5,239
2018-08-01,Lunte,Confirmed,Over 5,600
2018-08-01,Lunte,Confirmed,Under 5,65
2018-08-01,Lupososhi,Confirmed,Under 5,376
2018-08-01,Lupososhi,Confirmed,Over 5,616
2018-08-01,Lupososhi,Confirmed,Under 5,118
2018-08-01,Luwingu,Clinical,Under 5,1
2018-08-01,Luwingu,Clinical,Over 5,2
2018-08-01,Luwingu,Confirmed,Under 5,574
2018-08-01,Luwingu,Confirmed,Over 5,1025
2018-08-01,Luwingu,Confirmed,Under 5,146
2018-08-01,Mbala,Clinical,Under 5,3
2018-08-01,Mbala,Clinical,Over 5,4
2018-08-01,Mbala,Confirmed,Under 5,523
2018-08-01,Mbala,Confirmed,Over 5,1050
2018-08-01,Mbala,Confirmed,Under 5,151
2018-08-01,Mporokoso,Confirmed,Under 5,134
2018-08-01,Mporokoso,Confirmed,Over 5,353
2018-08-01,Mporokoso,Confirmed,Under 5,30
2018-08-01,Mpulungu,Clinical,Under 5,4
2018-08-01,Mpulungu,Clinical,Over 5,5
2018-08-01,Mpulungu,Confirmed,Under 5,474
2018-08-01,Mpulungu,Confirmed,Over 5,764
2018-08-01,Mpulungu,Confirmed,Under 5,126
2018-08-01,Mungwi,Clinical,Under 5,3
2018-08-01,Mungwi,Clinical,Over 5,11
2018-08-01,Mungwi,Confirmed,Under 5,1107
2018-08-01,Mungwi,Confirmed,Over 5,1887
2018-08-01,Mungwi,Confirmed,Under 5,212
2018-08-01,Nsama,Clinical,Under 5,2
2018-08-01,Nsama,Clinical,Over 5,2
2018-08-01,Nsama,Confirmed,Under 5,677
2018-08-01,Nsama,Confirmed,Over 5,1093
2018-08-01,Nsama,Confirmed,Under 5,183
2018-08-01,Senga,Confirmed,Under 5,475
2018-08-01,Senga,Confirmed,Over 5,988
2018-08-01,Senga,Confirmed,Under 5,194
2018-09-01,Chilubi,Clinical,Under 5,21
2018-09-01,Chilubi,Clinical,Over 5,38
2018-09-01,Chilubi,Clinical,Under 5,24
2018-09-01,Chilubi,Confirmed,Under 5,1560
2018-09-01,Chilubi,Confirmed,Over 5,1881
2018-09-01,Chilubi,Confirmed,Under 5,551
2018-09-01,Kaputa,Clinical,Over 5,3
2018-09-01,Kaputa,Confirmed,Under 5,1121
2018-09-01,Kaputa,Confirmed,Over 5,2536
2018-09-01,Kaputa,Confirmed,Under 5,309
2018-09-01,Kasama,Clinical,Under 5,1
2018-09-01,Kasama,Clinical,Over 5,12
2018-09-01,Kasama,Confirmed,Under 5,1648
2018-09-01,Kasama,Confirmed,Over 5,3093
2018-09-01,Kasama,Confirmed,Under 5,328
2018-09-01,Lunte,Clinical,Under 5,8
2018-09-01,Lunte,Clinical,Over 5,63
2018-09-01,Lunte,Clinical,Under 5,7
2018-09-01,Lunte,Confirmed,Under 5,273
2018-09-01,Lunte,Confirmed,Over 5,751
2018-09-01,Lunte,Confirmed,Under 5,34
2018-09-01,Lupososhi,Clinical,Under 5,1
2018-09-01,Lupososhi,Clinical,Over 5,1
2018-09-01,Lupososhi,Confirmed,Under 5,713
2018-09-01,Lupososhi,Confirmed,Over 5,886
2018-09-01,Lupososhi,Confirmed,Under 5,243
2018-09-01,Luwingu,Clinical,Over 5,3
2018-09-01,Luwingu,Clinical,Under 5,1
2018-09-01,Luwingu,Confirmed,Under 5,754
2018-09-01,Luwingu,Confirmed,Over 5,1311
2018-09-01,Luwingu,Confirmed,Under 5,201
2018-09-01,Mbala,Clinical,Under 5,10
2018-09-01,Mbala,Clinical,Over 5,54
2018-09-01,Mbala,Clinical,Under 5,16
2018-09-01,Mbala,Confirmed,Under 5,359
2018-09-01,Mbala,Confirmed,Over 5,703
2018-09-01,Mbala,Confirmed,Under 5,137
2018-09-01,Mporokoso,Confirmed,Under 5,183
2018-09-01,Mporokoso,Confirmed,Over 5,696
2018-09-01,Mporokoso,Confirmed,Under 5,47
2018-09-01,Mpulungu,Confirmed,Under 5,701
2018-09-01,Mpulungu,Confirmed,Over 5,1470
2018-09-01,Mpulungu,Confirmed,Under 5,174
2018-09-01,Mungwi,Confirmed,Under 5,1488
2018-09-01,Mungwi,Confirmed,Over 5,2664
2018-09-01,Mungwi,Confirmed,Under 5,253
2018-09-01,Nsama,Clinical,Under 5,1
2018-09-01,Nsama,Clinical,Over 5,1
2018-09-01,Nsama,Confirmed,Under 5,842
2018-09-01,Nsama,Confirmed,Over 5,1396
2018-09-01,Nsama,Confirmed,Under 5,224
2018-09-01,Senga,Confirmed,Under 5,548
2018-09-01,Senga,Confirmed,Over 5,1306
2018-09-01,Senga,Confirmed,Under 5,142
2018-10-01,Chilubi,Clinical,Under 5,18
2018-10-01,Chilubi,Clinical,Over 5,80
2018-10-01,Chilubi,Clinical,Under 5,12
2018-10-01,Chilubi,Confirmed,Under 5,1882
2018-10-01,Chilubi,Confirmed,Over 5,2301
2018-10-01,Chilubi,Confirmed,Under 5,610
2018-10-01,Kaputa,Clinical,Under 5,6
2018-10-01,Kaputa,Clinical,Over 5,29
2018-10-01,Kaputa,Clinical,Under 5,1
2018-10-01,Kaputa,Confirmed,Under 5,1129
2018-10-01,Kaputa,Confirmed,Over 5,2626
2018-10-01,Kaputa,Confirmed,Under 5,337
2018-10-01,Kasama,Clinical,Under 5,2
2018-10-01,Kasama,Clinical,Over 5,5
2018-10-01,Kasama,Confirmed,Under 5,2402
2018-10-01,Kasama,Confirmed,Over 5,5606
2018-10-01,Kasama,Confirmed,Under 5,536
2018-10-01,Lunte,Confirmed,Under 5,559
2018-10-01,Lunte,Confirmed,Over 5,1953
2018-10-01,Lunte,Confirmed,Under 5,97
2018-10-01,Lupososhi,Confirmed,Under 5,1329
2018-10-01,Lupososhi,Confirmed,Over 5,1970
2018-10-01,Lupososhi,Confirmed,Under 5,353
2018-10-01,Luwingu,Clinical,Under 5,1
2018-10-01,Luwingu,Clinical,Over 5,6
2018-10-01,Luwingu,Clinical,Under 5,5
2018-10-01,Luwingu,Confirmed,Under 5,1357
2018-10-01,Luwingu,Confirmed,Over 5,2728
2018-10-01,Luwingu,Confirmed,Under 5,292
2018-10-01,Mbala,Clinical,Over 5,4
2018-10-01,Mbala,Confirmed,Under 5,517
2018-10-01,Mbala,Confirmed,Over 5,1518
2018-10-01,Mbala,Confirmed,Under 5,127
2018-10-01,Mporokoso,Confirmed,Under 5,375
2018-10-01,Mporokoso,Confirmed,Over 5,1460
2018-10-01,Mporokoso,Confirmed,Under 5,59
2018-10-01,Mpulungu,Confirmed,Under 5,954
2018-10-01,Mpulungu,Confirmed,Over 5,1718
2018-10-01,Mpulungu,Confirmed,Under 5,234
2018-10-01,Mungwi,Confirmed,Under 5,2284
2018-10-01,Mungwi,Confirmed,Over 5,4906
2018-10-01,Mungwi,Confirmed,Under 5,493
2018-10-01,Nsama,Clinical,Under 5,2
2018-10-01,Nsama,Confirmed,Under 5,802
